NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
	article	Buring2003	Büring, D.	{O}n d-trees, beans, and b-accents	2023			511--545			Linguistics and Philosophy	5			26		
	incollection	Buring2007	Büring, D.	{I}ntonation, semantics and information structure	2007	Oxford University Press	Oxford	445--474	{T}he {O}xford {H}andbook of {L}inguistic {I}nterfaces	Ramchand, G. and Reiss, C.							
	article	burukina2020	Burukina, I.	{M}andative verbs and deontic modals in {R}ussian: {B}etween obligatory control and overt embedded subjects	2020			art. 1			Glossa: a journal of general linguistics	5		doi: 10.5334/gjgl.905			
	article	cannizzaro2016	Cannizzaro, S.	{I}nternet memes as internet signs: {A} semiotic view of digital culture	2016	Ulikooli Kirjastus	Tartu	562--586			Sign Systems Studies	4			44		
	article	Cao2021	Cao, X. and Lei, L. and Wen, J.	{P}romoting science with linguistic devices: {A} large-scale study of positive and negative words in academic writing	2021			82--88			Learned Publishing	34(2)					
	incollection	caponigropearl2008	Caponigro, I. and Pearl, L.	{S}ilent prepositions: {E}vidence from free relatives.	2008			365--385	{T}he {S}yntax and {S}emantics of {S}patial {P}					https://chooser.crossref.org/?doi=10.1075%2Fla.120.18cap			
	article	CarverWhite1994	Carver, C. S. and White, T. L.	{B}ehavioral inhibition, behavioral activation, and affective responses to impending reward and punishment: {T}he {B}{I}{S}/{B}{A}{S} {S}cales	1994	APA	Washington, D.C.	319--333			Journal of Personality and Social Psychology	2			67		
	article	carverwhite1994	Carver, C. S. and White, T. L.	{B}ehavioral inhibition, behavioral activation, and affective responses to impending reward and punishment: {T}he {B}{I}{S}/{B}{A}{S} {S}cales	1994	APA	Washington, D.C.	319--333			{J}ournal of {P}ersonality and {S}ocial {P}sychology	2			67		
	book	Charteris2011	Charteris-Black, J.	{P}oliticians and {R}hetoric: {T}he {P}ersuasive {P}ower of {M}etaphor	2011	Palgrave Macmillan	London										
	article	cheekbuss1981	Cheek, J. M. and Buss, A. H.	{S}hyness and sociability	1981	APA	Washington, D.C.	330--339			Journal of Personality and Social Psychology	41					
	article	chen2021	Chen, S. and Vander Klok, J. and Matthewson, L. and Rullmann, H.	{T}he ‘experiential’ as an existential past: {E}vidence from {J}avanese and {A}tayal	2021			709--758			Natural Language & Linguistic Theory	3			39		
	book	chierchia2013	Chierchia, G.	{L}ogic in grammar: {P}olarity, {F}ree {C}hoice, and {I}ntervention	2013	OUP	Oxford										
	incollection	chomsky2000	Chomsky, N.	{M}inimalist inquiries: {T}he framework	2000	MIT Press	Cambridge, MA	89--155	{S}tep by step: {E}ssays on minimalist syntax in honor of {H}oward {L}asnik								
	book	cinque1999	Cinque, G.	{A}dverbs and functional heads: {A} cross-linguistic perspective	1999	Oxford University Press	Oxford										
	book	Claridge2011	Claridge, C.	{H}yperbole in {E}nglish: {A} {C}orpus-based {S}tudy of {E}xaggeration	2011	Cambridge University Press	Cambridge										
	article	Claridge2018	Claridge, C.	{L}ying, {M}etaphor, and {H}yperbole	2018	Oxford University Press	Oxford	370--381	{T}he {O}xford {H}andbook of {L}ying	Meibauer, J.							
	article	Clark2020	Clark, K. and Luong, M.-T. and Le, Q. V. and Manning, C. D.	{E}{L}{E}{C}{T}{R}{A}: {P}re-training {T}ext {E}ncoders as {D}iscriminators {R}ather {T}han {G}enerators. {V}ersion {N}umber: 1	2020												
	article	clawsonlevin2023	Clawson, W.P. and Levin, M.	{E}ndless forms most beautiful 2.0: teleonomy and the bioengineering of chimaeric and synthetic organisms	2023	Oxford University Press UK		457--486			Biological Journal of the Linnean Society	4			139		
	book	Cohen1988	Cohen, J.	{S}tatistical {P}ower {A}nalysis for the {B}ehavioral {S}ciences (2nd ed.)	1988	Routledge											
	article	conant1991	Conant, J.	{I}n {S}earch of {L}ogical {A}lien {T}hought -- {D}escartes, {K}ant, {F}rege and the {T}ractatus	1991			115--180			Philosophical Topics	1			20		
	book	coppock2023	Coppock, E. and Champollion, L.	{I}nvitation to formal semantics	2023		Boston University and New York University										
	article	corbett1982	Corbett, G. G.	{G}ender in {R}ussian: {A}n account of gender specification and its relationship to declension	1982			197--232			Russian linguistics			doi: 10.1007/BF03545848	6		
	article	corbett2023	Corbett, G. G.	{T}he agreement hierarchy and ({G}eneralized) semantic agreement	2023			1--39			Glossa			doi: 10.16995/glossa.9164	8		
ru	misc	corpus2018a	Байда (Иванова), К. А. and Холодилова, М. A. and Егорова (Кожемякина), А. Д. and Романова, Е. А. and Ремизова, Т. Е. and Сторожева, А. А. and Тарасова, Н. К. and Зорина, В. А. and Морозова, В. А. and Панова, А. Б. and Добрушина, Н. Р.	{К}орпус русской речи {Ч}увашии.	2018	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2018b	Добрушина, Н. Р. and Даниэль, М. А. and фон Вальденфельс, Р. and Майсак, Т. А. and Панова, А. Б.	{К}орпус русской речи {Д}агестана.	2018	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2019	Сокур, Е. О. and Морозова, В. А.	{К}орпус русской речи {Б}ашкортостана.	2019	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2020a	Архангельский, Т. А.	{К}орпус русской речи бесермян.	2020	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2020b	Кожанов, К. А. and Хадасевич, А. С. and Черных, А. В.	{К}орпус цыганского русского.	2020	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2022	Влахов, А. В. and Лапина, М. С. and Смирнова, А. А. and Елагина, А. А. and Мордасов, М. А. and Рыжков, А. М. and Булгаков, Г. П. and Смирнова, Е. В. and Тимошина, А. А.	{К}орпус русской речи {К}арелии.	2022	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
ru	misc	corpus2023	Волков,а А. А.	{К}орпус русской речи республики {М}арий {Э}л.	2023	Международная лаборатория языковой конвергенции, НИУ ВШЭ	Москва										
	book	Cruse2004	Cruse, A.	{M}eaning in {L}anguage: {A}n {I}ntroduction to {S}emantics and {P}ragmatics	2004	Oxford University Press	Oxford										
	article	dabirmoghaddam1997	Dabir-Moghaddam, M.	{C}ompound verb in {P}ersian	1997	University of Illinois		25--59			Studies in the Linguistic Science	2			27		
	misc	dagatlas	Daniel, M. and Filatov, K. and Maisak, T. and Moroz, G. and Mukhin, T. and Naccarato, C. and Verhees, S.	{T}ypological {A}tlas of the {L}anguages of {D}aghestan ({T}{A}{L}{D}), v. 2.0.0.	2025	Linguistic Convergence Laboratory, NRU HSE	Moscow							https://lingconlab.ru/tald			
	article	danieletal2010	Daniel, M. and Dobrushina, N. and Knyazev, S.	{H}ighlanders’ {R}ussian: {C}ase study in bilingualism and language interference in {C}entral {D}aghestan	2010			65--93			Slavica Helsingiensia				40		
	article	davies2023	Davies, J. and Levin, M.	{S}ynthetic morphology with agential materials	2023	Nature Publishing Group UK London		46--59			Nature Reviews Bioengineering	1			1		
	book	Dawkins1976	Dawkins, R.	{T}he {S}elfish {G}ene	1976	Oxford University Press	New York										
	book	Dawkins2006	Dawkins, R.	{T}he {G}od {D}elusion	2006	Transworld Publishers	Kent										
	incollection	dayal2009	Dayal, V.	{V}ariation in {E}nglish free choice items	2009	EFL University Press	Hyderabad	237--256	{U}niversals and variation. {P}roceedings of {G}{L}{O}{W} in {A}sia {V}{I}{I}	Mohanty, R. and Menon, M.							
	article	Dayter2025a	Dayter, D. and Rüdiger, S.	{C}orpus {L}inguistics and {P}ersuasion	2025a	Elsevier	Amsterdam		{I}nternational {E}ncyclopedia of {L}anguage and {L}inguistics, 3rd ed.	Nesi, H. and Milin, P.							
	article	Dayter2025b	Dayter, D. and Rüdiger, S.	{P}ersuasion and {I}nfluence in {L}inguistic {R}esearch	2025b	Cambridge University Press	Cambridge	3--18	{M}anipulation, {I}nfluence and {D}eception: {T}he {C}hanging {L}andscape of {P}ersuasive {L}anguage	Rüdiger, S. and Dayter, D.							
ru	article	Delazari2023	Делазари, И.	{К}омиксы на слух: диегетический звук как трансмедиальная категория	2023			118--132	{Н}овое литературное обозрение			1			179		
ru	article	Delazari2023	Делазари, И.	{К}омиксы на слух: диегетический звук как трансмедиальная категория	2023			118--132			Новое литературное обозрение	1			179		
	incollection	dingemanse2023	Dingemanse, M.	{I}nterjections	2023	Oxford University Press	Oxford	477--491	{T}he {O}xford {H}andbook of {W}ord {C}lasses	van Lier, E.				https://til.im/ru/slovar			
	article	dixon1977	Dixon, R. M. W.	{W}here {H}ave {A}ll the {A}djectives {G}one?	1977	John Benjamins Publishing Company	Amsterdam/Philadephia	19--80			Studies in Language	1			1		
	incollection	dixon2004	Dixon, R. M. W.	{A}djective classes: {A} cross linguistic typology	2004	Oxford University Press	Oxford	1--49	{A}djective classes: {A} cross linguistic typology	Dixon, R. M. W. and Aikenvald, A. Y.					1	Explorations in Linguistic Typology	
	incollection	dobrushina2019	Dobrushina, N.	{M}oods of {M}ehweb	2019	Language Science Press	Berlin	117--165	{T}he {M}ehweb language. {E}ssays on phonology, morphology and syntax	Daniel, M. and Dobrushina, N. and Ganenkov, D.							
	article	driemel2020	Driemel, I.	{P}seudo-incorporation and its movement patterns	2020	Open Library of Humanities		1--40			Glossa: a journal of general linguistics	1			5		
	incollection	drude2018	Drude, S.	{W}hy we need better language maps, and what they could look like.	2018	FEL & EL Publishing	London	33--40	{E}ndangered languages and the land: {M}apping landscapes of multilingualism								
	article	DSM2019	Da San Martino, G. and Yu, A. and Barrón-Cedeño, A. and Petrov, R. and Nakov, P.	{F}ine-{G}rained {A}nalysis of {P}ropaganda in {N}ews {A}rticles	2019	Association for Computational Linguistics.	Hong Kong, China	5636--5646	{P}roceedings of the 2019 {C}onference on {E}mpirical {M}ethods in {N}atural {L}anguage {P}rocessing and the 9th {I}nternational {J}oint {C}onference on {N}atural {L}anguage {P}rocessing ({E}{M}{N}{L}{P}-{I}{J}{C}{N}{L}{P})	Inui, K. and Jiang, J. and Ng, V. and Wan, X.							
	article	Dubois2014	Du Bois, J. W.	{T}owards a {D}ialogic {S}yntax	2014			359 -- 410			Cognitive Linguistics	25(3)					
	article	ebrahimkhani2021	Ebrahimkhani, M. R and Levin, M.	{S}ynthetic living machines: {A} new window on life	2021	Elsevier		102505			Iscience	5			24		
	incollection	Edgington1997	Edgington, D.	{V}agueness by degrees	1997	MIT Press	Cambridge, MA	294--316	{V}agueness: {A} {R}eader	Keefe, R. and Smith, P.							
	incollection	Ekman1999	Ekman, P.	{F}acial {E}xpressions	1999	Wiley	Chichester	301--320	{H}andbook of {C}ognition and {E}motion								
