NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
ru	article	SherstinovaPetrova2023	Шерстинова, Т.Ю. and Петрова, И.А.	{М}оделирование повседневного речевого поведения: {К}орпус устной речи молодежи, или {О}{Р}{Д} {V}. 2.0	2023						Социо- и психолингвистические исследования				11		
ru	book	SHmid2003	Шмид, В.	{Н}арратология	2003	Яз. славян. культуры : Кошелев	Москва	311								Studia philologica	
ru	book	Shokhor-Trotskaya2001	Шохор-Троцкая, М.К.	{Р}ечь и афазия	2001	Академический проект	Москва	416									
ru	misc	ShopotAI		{S}chöpot.ai										https://shopot.ai/			
	phdthesis	Siegl2004	Siegl, F.	{T}he second past in the {P}ermic languages: form, function, and a comparative analysis from a typological perspective	2004								University of Tartu				
	inproceedings	Simonsetal2010	Simons, M. and Tonhauser, J. and Beaver, D. and Roberts, C.	{W}hat projects and why	2010	Linguistic Society of America	Ithaca, NY	309--327	{P}roceedings of {S}emantics and {L}inguistic {T}heory 20	Li, N. and Lutz, D.					20	Proceedings of Semantics and Linguistic Theory	
ru	article	skovorodnikov1980	Сковородников, А. П.	{О} функциях парцелляции в современном русском литературном языке	1980	Наш язык	М.	86--91			Русский язык в школе				5		
	inproceedings	Skrebtsova2020	Skrebtsova, T.	{T}hematic {T}agging of {L}iterary {F}iction: {T}he {C}ase of {E}arly 20th {C}entury {R}ussian {S}hort {S}tories	2020			265--276	{C}{E}{U}{R} {W}orkshop {P}roceedings: {P}roceedings of the {I}nternational {C}onference '{I}nternet and {M}odern {S}ociety' ({I}{M}{S}-2020)						2813		
	book	sokolov1967	Sokolov, S. N.	{T}he {A}vestan language	1967	Наука	М.										
	incollection	Stalnaker1978	Stalnaker, R.	{A}ssertion	1978	Academic Press	New York	315--332	{P}ragmatics	Cole, P.					9	Syntax and Semantics	
	article	steriopolo2019	Steriopolo, O.	{M}ixed gender agreement in the case of {R}ussian hybrid nouns	2019			91--105			Questions and Answers in Linguistics	5					
	article	stowell2007	Stowell, T.	{T}he syntactic expression of tense	2007			437--463			Lingua	2		https://doi.org/10.1016/j.lingua.2005.08.003	117		
ru	article	stoynovashluinskiy2010	Стойнова, Н. М. and Шлуинский, А. Б.	{Р}усская речь лесных энцев: зарисовки исследователей вымирающего языка	2010			153--165			Slavica Helsingiensia						
	article	Subbiah2024	Subbiah, M. and Zhang, S. and Chilton, L. B. and McKeown, K.	{R}eading {S}ubtext: {E}valuating {L}arge {L}anguage {M}odels on {S}hort {S}tory {S}ummarization with {W}riters	2024	MIT Press	Cambridge, MA	1290--1310			Transactions of the Association for Computational Linguistics				12		
	article	SubbiahEtAl2024	Subbiah, M. and Zhang, S. and Chilton, L. B. and McKeown, K.	{R}eading subtext: {E}valuating large language models on short story summarization with writers	2024			1290--1310			Transactions of the Association for Computational Linguistics				12		
ru	phdthesis	Subbota2008	Суббота, К. А.	{Г}лагол в ижемском диалекте коми языка: грамматические категории и словообразование (на материале казымского говора)	2008								ГОУ ВПО «Сыктывкарский Государственный Университет»				
	book	sumbatovamutalov2003	Sumbatova, N. R. and Mutalov, R. O.	{A} grammar of {I}cari {D}argwa	2003	Lincom Europa											
	book	talibovgadzhiev1966	Talibov, B.B. and Gadžiev, M.M.	{L}ezginsko-russkij slovarʹ [{L}ezgian-{R}ussian dictionary]	1966	Sovetskaja Ènciklopedija	Moscow										
	inproceedings	Tang2023	Tang, J. and Chen, W. and Chang, X. and Watanabe, S. and MacWhinney, B.	{A} new benchmark of aphasia speech recognition and detection based on {E}-{B}ranchformer and multi-task learning	2023			1528--1532	{P}roceedings of {I}nterspeech 2023					doi:10.21437/Interspeech.2023-2191			
ru	book	tatevosov2015	Татевосов, С. Г.	{А}кциональность в лексике и грамматике. {Г}лагол и структура события	2015	Языки славянской культуры	Москва										
ru	book	testelets2001	Тестелец, Я. Т.	{В}ведение в общий синтаксис	2001	Российский государственный гуманитарный университет	Москва										
ru	book	toldova2018	Толдова, С. Ю. and Холодилова, М. А. and Татевосов, С. Г. and Кашкин, Е. В. and Козлов, А. А. and Козлов, Л. С. and Кухто, А. В. and Привизенцева, М. Ю. and Стенин, И. А.	{Э}лементы мокшанского языка в типологическом освещении	2018	«Буки Веди»	Москва	xxiv + 1014		Толдова, С. Ю. (отв. ред.) and Холодилова, М. А. (отв. ред.) and Татевосов, С. Г. and Кашкин, Е. В. and Козлов, А. А. and Козлов, Л. С. and Кухто, А. В. and Привизенцева, М. Ю. and Стенин, И. А.							
	article	toldova2023	Toldova, S. Yu. and Sokur, E. O.	{B}uilding an {O}pen {C}orpus and a {M}orphological {P}arser for {C}orpus {A}nnotation for {S}tandard {D}argwa	2024			905--915			Journal of Siberian Federal University	5			17	Humanities & Social Sciences	
	article	toosarvandani2025	Toosarvandani, M.	{L}anguages {W}ithout {T}ense	2025						Language and Linguistics Compass	4			19		
	article	Touvron2023	Touvron, H. and Lavril, T. and Izacard, G. and Martinet, X. and Lachaux, M.-A. and Lacroix, T. and Rozière, B. and Goyal, N. and Hambro, E. and Azhar, F. and Rodriguez, A. and Joulin, A. and Grave, E. and Lample, G.	{L}lama: {O}pen and efficient foundation language models	2023												
	misc	tsakorpus2020	Tsakorpus Repository	{T}sakorpus 2.0	2020		Online							https://github.com/timarkh/tsakorpus			
	article	Tsang2017	Tsang, A.	{J}udgement of countability and plural marking in {E}nglish by native and non-native {E}nglish speakers	2017			343--359			Language Awareness	26(4)					
ru	phdthesis	tsumrayev2003	Цумарев, А. Э.	{П}арцелляция в современной газетной речи. {А}втореф. дис. канд. филолог. наук.	2003		М.										
	phdthesis	tsumrayev2003	Цумарев, А. Э.	{П}арцелляция в современной газетной речи. {А}втореф. дис. канд. филолог. наук.	2003		М.										
ru	book	TSvetkova1988	Цветкова, Л.С.	{А}фазия и восстановительное обучение	1988	Просвещение	Москва	207									
ru	article	Tsypanov2002	Цыпанов, Е.А.	{К} вопросу о факторах, определяющих употребление {I} и {I}{I} прошедших времен в коми языке	2002			165--175			Linguistica uralica				XXXVIII		
ru	book	Tsypanov2005	Цыпанов, Е.А.	{Г}рамматические категории глагола в коми языке	2005		Сыктывкар										
	incollection	vandijk1982	Van Dijk, T. A	{E}pisodes as units of dicourse analysis	1982	Georgetown University Press	Washington, D.C.		{A}nalysing discourse: {T}ext and {T}alk	Tannen, D.							
ru	incollection	vannikov2009	Ванников, Ю. В.	{П}арцелляция	1990		М.	369	{Л}ингвистический энциклопедический словарь	Ярцева, В. Н.							
ru	article	Vepreva2017	Вепрева, И.Т.	{Б}азовый лексикон астрологического прогноза: о словах с """"""""размытым"""""""" содержанием	2017			57--63			Экология языка и коммуникативная практика	1					
ru	article	Vepreva2017	Вепрева, И.Т.	{Б}азовый лексикон астрологического прогноза: о словах с """"""""размытым"""""""" содержанием	2017			57--63			Экология языка и коммуникативная практика	1					
	article	Vinogradova2017	Vinogradova, O. and Login, N.	{T}he {D}esign of {T}ests with {M}ultiple {C}hoice {Q}uestions {A}utomatically {G}enerated from {E}ssays in a {L}earner {C}orpus	2017						SSRN Electronic Journal						
	article	Vinogradova2022	Vinogradova, O. and Lyashevskaya, O.	{R}eview of {P}ractices of {C}ollecting and {A}nnotating {T}exts in the {L}earner {C}orpus {R}{E}{A}{L}{E}{C}	2022	Springer International Publishing		77--88		Sojka, P. and Horák, A. and Kopeček, I. and Pala, K.	Lecture Notes in Computer Science: Text, Speech, and Dialogue	13502					
	inproceedings	Vipperla2008	Vipperla, R. and Young, S. and Narayanan, S.S.	{L}ongitudinal study of {A}{S}{R} performance on ageing voices	2008												
ru	phdthesis	Vizel2002	Визель, Т.Г.	{Н}ейролингвистический анализ атипичных форм афазии (системный интегрированный подход)	2002		Москва	49									
ru	misc	VoiceKit		{V}oice{K}it										https://www.tbank.ru/software/voicekit/			
ru	incollection	Volodin1969	Володин, А. П.	{К}аузативные глаголы и каузативные глагольные структуры в ительменском языке	1969	Наука	Ленинград	170--178	{Т}ипология каузативных конструкций. {М}орфологический каузатив	Холодович, А. А.							
	article	vonFintelGillies2010	von Fintel, K. and Gillies, A. S.	{M}ust... stay... strong!	2010			350--383			Natural Language Semantics				18		
	misc	voznesenskaya2024	Voznesenskaia, A.	{W}hat {B}ackward {N}egative {C}oncord tells us about control	2024												Unpublished ms., Stony Brook University
	misc	wals		{W}{A}{L}{S} {O}nline	2013					Dryer, M. S. and Haspelmath, M.				https://doi.org/10.5281/zenodo.13950591			
	article	Wang2015	Wang, W. and Yang, C.	{C}laiming centrality as promotion in applied linguistics research article introductions	2015			162--175			Journal of English for Academic Purposes	20					
	article	Wang2020	Wang, E. L. and Matsumura, L. C. and Correnti, R. and Litman, D. and Zhang, H. and Howe, E. and Magooda, A. and Quintana, R.	e{R}evis(ing): {S}tudents’ revision of text evidence use in an automated writing evaluation system	2020			100449			Assessing Writing	44					
	article	Warrineretal2017	Warriner, A.B. and Shore, D.I. and Schmidt, L.A. and Imbault, C.L. and Kuperman, V.	{S}liding into happiness: a new tool for measuring affective responses to words	2017	CPA	Ottawa, Canada	71--88			Canadian Journal of Experimental Psychology	1			71		
	article	warrineretal2017	Warriner, A.B. and Shore, D.I. and Schmidt, L.A. and Imbault, C.L. and Kuperman, V.	{S}liding into happiness: a new tool for measuring affective responses to words	2017	CPA	Ottawa, Canada	71--88			{C}anadian {J}ournal of {E}xperimental {P}sychology	1			71		
	article	watsonlevin2023	Watson, R. and Levin, M.	{T}he collective intelligence of evolution and development	2023	Sage Publications Sage UK: London, England		2.63391372311684E+016			Collective Intelligence	2			2		
	article	wegner2019	Wegner, D.	{T}he properties of perfect(ive) and (eventive) passive participles: {A}n identity approach	2019						Glossa: A Journal of General Linguistics	1			4		
	article	Werner2023	Werner, L. and Huang, G. and Pitts, B. J.	{S}mart speech systems: {A} focus group study on older adults' experiences and perceptions	2023			1567--1582			J Speech Lang Hear Res	5		doi:10.1044/2023_JSLHR-22-00556	66		
	incollection	wilkins2018	Wilkins, D. P.	{T}he {D}emonstrative {Q}uestionnaire: “{T}{H}{I}{S}” and “{T}{H}{A}{T}” in {C}omparative {P}erspective	2018	Cambridge University Press	Cambridge	43--71	{D}emonstratives in {C}ross-{L}inguistic {P}erspective	Levinson, S. C. and Cutfield, S. and Dunn, M. J. and Enfield, N. J. and Meira, S.						Language Culture and Cognition	
	book	williamson2022	Williamson, T.	{T}he {P}hilosophy of {P}hilosophy. {S}econd {E}dition	2022	Wiley-Blackwell	Hoboken and Chichester										
	article	Woodworth2020	Woodworth, J. and Barkaoui, K.	{P}erspectives on {U}sing {A}utomated {W}riting {E}valuation {S}ystems to {P}rovide {W}ritten {C}orrective {F}eedback in the {E}{S}{L} {C}lassroom	2020			234--247			TESL Canada Journal	37(2)					
	article	wright2001	Wright, C.	{O}n being in a quandary. {R}elativism, vagueness, logical revisionism	2001			45--98			Mind	1			110		
	book	xalilovisakov2005	Xalilov, M.Š. and Isakov, I.A.	{G}inuxsko-russkij slovarʹ [{H}inuq-{R}ussian dictionary]	2005	DNC RAN Institut jazyka, literatury i iskusstva im. G. Cadasy i Institut èvoljucionnoj antropologii im. M. Planka	Makhachkala										
	article	Xie2023	Xie, S. and Mi, C.	{P}romotion and caution in research article abstracts: {T}he use of positive, negative and hedge words across disciplines and rankings	2023			249--265			Learned Publishing	36(2)					
	misc	Xiong2016	Xiong, W. and Droppo, J. and Huang, X. and Seide, F. and Seltzer, M. and Stolcke, A. and Yu, D. and Zweig, G.	{A}chieving human parity in conversational speech recognition	2016									https://arxiv.org/abs/1610.05256			
	incollection	yadroff2001	Yadroff, M. and Franks, S.	{T}he origin of prepositions	2001	Peter Lang	Frankfurt am Main	69--79	{C}urrent issues in formal {S}lavic linguistics	Zybatow, G. and Junghanns, U. and Mehlhorn, G. and Szucsich, L.							
ru	misc	YandexSpeechKit		{Y}andex {S}peech{K}it										https://cloud.yandex.ru/services/speechkit			
	incollection	yanovich2005	Yanovich, I.	{C}hoice-functional series of indefinite pronouns and {H}amblin semantics	2005	Cornell University	Ithaca, NY	309--326	{P}roceedings of {S}emantics and {L}inguistic {T}heory ({S}{A}{L}{T}) 15	Georgala, E. and Howell, J.	15						
	article	Ylikoski2016	Ylikoski, J.	{T}he origins of the western {U}ralic s-cases revisited: historiographical, functional-typological and {S}amoyedic perspectives	2016			6--78			Finnisch-Ugrische Forschungen				63		
	article	Yuan2021	Yuan, Z. and Taslimipoor, S. and Davis, C. and Bryant, C.	{M}ulti-{C}lass {G}rammatical {E}rror {D}etection for {C}orrection: {A} {T}ale of {T}wo {S}ystems	2021			8722--8736	{P}roceedings of the 2021 {C}onference on {E}mpirical {M}ethods in {N}atural {L}anguage {P}rocessing								
ru	book	zaikovrugoeva1999	Зайков, П. М. and Ругоева, Л. И.	{К}арельско-русский словарь	1999	Периодика	Петрозаводск										
	phdthesis	zakirova2023	Zakirova, A.	{N}umber marking across different word classes in the {E}ast {C}aucasian languages	2023	HSE University	Moscow										
	article	Zardini2008a	Zardini, E.	{A} {M}odel of {T}olerance	2008	Springer		337--368			Studia Logica	3			90		
	phdthesis	Zardini2008b	Zardini, E.	{L}iving on the slippery slope. {T}he nature, sources and logic of vagueness	2008								University of St Andrews				
ru	book	zarubin1960	Зарубин, И. И.	{Ш}угнанские тексты и словарь	1960	Издательство Академии наук СССР	М., Л.										
	misc	zehr2018	Zehr, J. and Schwarz, F.	{P}enn{C}ontroller for {I}nternet {B}ased {E}xperiments ({I}{B}{E}{X})	2018									doi: 10.17605/OSF.IO/MD832			
	incollection	zerzele2024	Zerzele, V.	{P}lural marking on imperatives and prohibitives	2024	Linguistic Convergence Laboratory	Moscow		{T}ypological {A}tlas of the {L}anguages of {D}aghestan ({T}{A}{L}{D})	Daniel, M. and Filatov, K. and Maisak, T. and Moroz, G. and Mukhin, T. and Naccarato, C. and Verhees, S.							
	article	Zhang2019	Zhang, T. and Kishore, V. and Wu, F. and Weinberger, K. Q. and Artzi, Y.	{B}{E}{R}{T}{S}core: {E}valuating {T}ext {G}eneration with {B}{E}{R}{T}	2019						ArXiv			https://api.semanticscholar.org/CorpusID:127986044	abs/1904.09675		
	article	ZhangEtAl2019	Zhang, T. and Kishore, V. and Wu, F. and Weinberger, K. Q. and Artzi, Y.	{B}{E}{R}{T}{S}core: {E}valuating text generation with {B}{E}{R}{T}	2019						arXiv preprint arXiv:1904.09675						
	incollection	zwarts1998	Zwarts, F.	{T}hree types of polarity	1998	Springer Netherlands	Dordrecht	177--238	{P}lurality and quantification	Hamm, F. and Hinrichs, E.							
	incollection	Zwicky1976	Zwicky, A. M.	{W}ell, this rock and roll has got to stop. {J}unior’s head is hard as a rock	1976	Chicago Linguistic Society	Chicago	676--697	{P}apers from the {T}welfth {R}egional {M}eeting of the {C}hicago {L}inguistic {S}ociety	Mufwene, S. S. and Walker, C. A. and Steever, S. B.							
